Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NoveltySeeking,ExploratoryExcitability,Impulsiveness,Extravagance,Disorderliness,Total,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,IdleSteps2d,DistanceTravelledY,DistanceTravelled2d_100ms,AreaCoveredRaw_14,RoamingEntropy_14,ObjectsVisited10,ObjectVisits10,RevisitingGagnon14,StepLengthCoeffVar,LagStepsPercent3xMedian,LagStepsPercent4xMedian,LagStepsPercent5xMedian,trimLoss,SinuosityRediscretized,FractalDimension,numTurningPointsFlight150,numTurningPointsFlight160,numTurningPointsFlight170,numTurningPointsFlight180,numTurningPointsRaw150,numTurningPointsRaw160,numTurningPointsRaw170,numTurningPointsRaw180
100.0,37.0,male,Green,GreenGreen,familiar,deep,21.0,6.0,4.0,6.0,5.0,21.0,3.0,8.0,3.0,8.0,2646,165,182.7,661.7701696948841,38.0,0.5842325154714834,15.0,22.0,17.826852531181217,0.3484269533707391,0.0,0.0,0.0,138,0.39094453552420194,1.031837014538557,5,5,4,2,0,0,0,0
102.0,30.0,male,Green,GreenGreen,familiar,deep,29.0,8.0,7.0,6.0,8.0,29.0,4.0,7.0,3.0,7.0,2632,353,105.49999999999999,591.412153815028,30.0,0.5428563722678937,12.0,20.0,21.02476038338658,0.35051282052385935,0.0007993605115907274,0.0,0.0,249,0.5313386195000501,1.0377866116038708,5,5,3,2,5,5,4,0
103.0,29.0,female,Green,GreenGreen,familiar,deep,12.0,5.0,1.0,0.0,6.0,12.0,2.0,7.0,2.0,7.0,2746,705,59.800000000000004,367.9775792096198,25.0,0.5175676917107536,12.0,15.0,10.995188452285484,0.3411224203861049,0.0,0.0,0.0,254,0.3888405464739777,1.0156596984248973,3,3,3,2,2,1,1,1
104.0,15.0,female,Green,GreenGreen,familiar,deep,16.0,,,,,,8.0,7.0,7.0,8.0,2904,454,97.69999999999999,503.8848496914814,36.0,0.5769472692988618,11.0,12.0,5.182182985553772,0.38007794641079445,0.0,0.0,0.0,255,0.43859752352466,1.0304278929424227,1,1,1,0,2,2,1,0
105.0,27.0,male,Green,GreenGreen,familiar,deep,12.0,3.0,2.0,1.0,6.0,12.0,7.0,8.0,7.0,8.0,2740,955,42.5,253.00631747343058,13.0,0.36624488563742946,7.0,12.0,48.705882352941174,0.3842348926880772,0.0,0.0,0.0,447,0.6843082947412342,1.0565153839535393,2,1,1,0,2,2,1,1
106.0,21.0,female,Green,GreenGreen,familiar,deep,25.0,9.0,4.0,6.0,6.0,25.0,6.0,8.0,6.0,7.0,2529,687,61.599999999999994,389.1213051534327,26.0,0.5055325419650534,13.0,17.0,6.703269069572507,0.2974397962632599,0.0,0.0,0.0,308,0.3454657785464611,1.0160875220562136,2,2,2,0,0,0,0,0
107.0,21.0,male,Green,GreenGreen,familiar,deep,28.0,7.0,6.0,7.0,8.0,28.0,5.0,8.0,5.0,8.0,2877,245,195.5,645.9420962029405,45.0,0.6217827283230412,13.0,15.0,10.724904214559388,0.3832105488640531,0.0,0.0,0.0,196,0.37342367108860736,1.0216690134974868,1,0,0,0,2,1,0,0
500.0,9.0,male,Pink,PinkGreen,novel,deep,11.0,,,,,,7.0,8.0,8.0,9.0,1871,965,93.99999999999997,237.27898366274127,12.0,0.35427696758785016,5.0,11.0,24.110423116615067,0.41332228748908084,0.0,0.0,0.0,532,0.7999707461824312,1.0933724354137377,1,1,1,0,2,1,0,0
502.0,63.0,female,Pink,PinkGreen,novel,deep,14.0,4.0,3.0,5.0,2.0,14.0,3.0,7.0,3.0,9.0,3007,1117,35.899999999999984,165.80785544154804,17.0,0.37908158419061433,4.0,4.0,0.047856430707876374,0.48789384321677576,0.001996007984031936,0.000998003992015968,0.0,498,0.2477665728070139,1.0060729776190929,0,0,0,0,3,3,3,3
503.0,8.0,male,Pink,PinkPink,familiar,deep,10.0,,,,,,3.0,5.0,3.0,5.0,1503,699,55.499999999999915,396.2792422552185,23.0,0.4862612899534872,9.0,15.0,25.869639794168098,0.2815019663693523,0.0,0.0,0.0,335,0.40021861567515893,1.0177274989722536,3,2,1,0,0,0,0,0
