Subject,Age,Sex,World,VE_sequence,NovelFamiliar,LearningType,NS,ArousalPre,MoodPre,ArousalPost,MoodPost,TimeRaw,TimeRawTrimmed,TimeTrimmed,IdleTime,PathLength_Y,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent
100,37.0,male,Green,GreenGreen,familiar,deep,21.0,3.0,8.0,3.0,8.0,2646,2401,1363,27,183.7,661.7701696948841,38.0,0.5842325154714834,10122.131019444443,15.0,17.0,22.0,28.0,7.0,17.826852531181217,0.39094453552420194,1.0317185884824287,5,2,0,0,0.057421748123703265,0.022666479522514445,0.3484269533707391,0.00125
102,30.0,male,Green,GreenGreen,familiar,deep,29.0,4.0,7.0,3.0,7.0,2632,2195,1252,104,106.49999999999999,591.412153815028,30.0,0.5428563722678937,6833.92345022,12.0,14.0,20.0,26.0,8.0,21.02476038338658,0.5313386195000501,1.0393958067729527,5,2,5,0,0.05072604579814384,0.020290418319257538,0.35051282052385935,0.0009115770282588879
103,29.0,female,Green,GreenGreen,familiar,deep,12.0,2.0,7.0,2.0,7.0,2746,2280,1247,451,60.800000000000004,367.9775792096198,25.0,0.5175676917107536,6619.014699999999,12.0,12.0,15.0,20.0,3.0,10.995188452285484,0.3888405464739777,1.0196614005291758,3,2,1,1,0.06793892185958063,0.0326106824925987,0.3411224203861049,0.0
104,15.0,female,Green,GreenGreen,familiar,deep,16.0,8.0,7.0,7.0,8.0,2904,2409,1246,199,98.69999999999999,503.8848496914814,36.0,0.5769472692988618,12465.840628719996,11.0,12.0,13.0,15.0,2.0,5.182182985553772,0.43859752352466,1.0318671871436589,1,0,2,0,0.07144489464615195,0.021830384475213096,0.38007794641079445,0.0008305647840531562
105,27.0,male,Green,GreenGreen,familiar,deep,12.0,7.0,8.0,7.0,8.0,2740,1923,1054,508,43.49999999999999,253.00631747343058,13.0,0.36624488563742946,2057.6525418,7.0,8.0,12.0,14.0,5.0,48.705882352941174,0.6843082947412342,1.0597933632452956,1,0,2,1,0.05138211618516282,0.027667293330472287,0.3842348926880772,0.0
106,21.0,female,Green,GreenGreen,familiar,deep,25.0,6.0,8.0,6.0,7.0,2529,2009,1193,379,62.4,389.1213051534327,26.0,0.5055325419650534,8057.487523199996,13.0,17.0,17.0,20.0,4.0,6.703269069572507,0.3454657785464611,1.0149108653942922,2,0,0,0,0.06681721009788466,0.03340860504894233,0.2974397962632599,0.0
107,21.0,male,Green,GreenGreen,familiar,deep,28.0,5.0,8.0,5.0,8.0,2877,2501,1305,49,196.5,645.9420962029405,45.0,0.6217827283230412,11456.228139520003,13.0,15.0,15.0,22.0,2.0,10.724904214559388,0.37342367108860736,1.0208720197309602,0,0,1,0,0.06966568716379495,0.020125642958429654,0.3832105488640531,0.0004
500,9.0,male,Pink,PinkGreen,novel,deep,11.0,7.0,8.0,8.0,9.0,1871,1207,969,433,94.29999999999997,237.27898366274127,12.0,0.35427696758785016,1498.574888222222,5.0,5.0,11.0,7.0,6.0,24.110423116615067,0.7999707461824312,1.099314305075883,1,0,1,0,0.0505733791284959,0.02107224130353996,0.41332228748908084,0.0
502,63.0,female,Pink,PinkGreen,novel,deep,14.0,3.0,7.0,3.0,9.0,3007,2009,1003,619,36.39999999999999,165.80785544154804,17.0,0.37908158419061433,2105.650006720001,4.0,6.0,4.0,6.0,0.0,0.047856430707876374,0.2477665728070139,1.0063182289167347,0,0,3,3,0.10252831480588676,0.024124309366091,0.48789384321677576,0.00199203187250996
503,8.0,male,Pink,PinkPink,familiar,deep,10.0,3.0,5.0,3.0,5.0,1503,1167,1166,364,55.999999999999915,396.2792422552185,23.0,0.4862612899534872,3888.9150400000003,9.0,11.0,15.0,20.0,6.0,25.869639794168098,0.40021861567515893,1.019635441138108,2,0,0,0,0.05803988084035739,0.02271125772013985,0.2815019663693523,0.0
505,21.0,female,Pink,PinkPink,familiar,deep,18.0,5.0,8.0,4.0,8.0,1808,1497,1243,242,71.79999999999995,422.58081403536113,40.0,0.5925401807499534,9492.27681460223,13.0,15.0,14.0,20.0,1.0,0.39581657280772325,0.23630155188714727,1.0066846088374777,0,0,1,0,0.09465645072247138,0.030763346484803198,0.4282915326098406,0.0006684491978609625
