Subject,gender,exp,TimeRaw,TimeTrimmed,IdleTime,PathLength,AreaCovered,RoamingEntropy,MinimumPolygon,ObjectsVisited,ObjectsVisited_short10,ObjectsVisited20,ObjectVisits,ObjectVisits20,ObjectRevisits,Revisiting,Sinuosity,FractalDimension,numTurningPointsFlight160,numTurningPointsFlight180,numTurningPointsRaw160,numTurningPointsRaw180,AreaEfficiency,ObjectEfficiency,StepLengthCoeffVar,LagStepsPercent,ObjectRevisits20,Revisiting20,ObjectEfficiency20
1_59,F,1,14690,14465,6468,3950.162098646854,241.0,0.5349871482335794,255405.9509,7,4,8,7,10,0,20.69588662288282,0.4092559460779691,1.0303809001632165,3,1,2,2,0.0610101545155718,0.0017720791768008,0.1422492473579948,0.0,2,34.95603180089872,0.002025233344915247
1_62,M,1,18360,18336,8397,4952.449166946552,339.0,0.5058150810237763,242281.1878,7,4,8,12,14,5,31.195244328097733,0.2398872171382295,1.0101854658419582,5,0,0,0,0.0684509802266201,0.0014134420695762,0.124878249828321,0.0,6,55.824552792321114,0.0016153623652299745
1_64,M,1,15424,15374,5970,4670.783981044632,336.0,0.5443090108044174,494976.42159999977,5,4,8,11,13,6,20.864381423182,0.2660152016839165,1.0084075800951156,1,0,3,0,0.0719365317179264,0.0010704841029453,0.1355133332929581,0.0,5,29.05639391179914,0.0017127745647125348
1_66,F,1,15086,15001,6485,4236.079226632433,318.0,0.5357294973754559,348334.1606499997,5,2,8,6,12,1,27.19305379641357,0.1477395570816366,1.0035230322306352,1,1,0,0,0.0750694174935914,0.0011803367530438,0.1333898407514812,0.0,4,45.81654556362909,0.0018885388048702244
1_67,F,1,16802,16690,8668,3994.102234002872,249.0,0.4841892696667576,242864.6514999999,5,3,9,6,13,1,28.606890353505094,0.1403112177981195,1.0032953732446526,6,1,0,0,0.0623419195132752,0.0012518457733589,0.1281327754754856,0.0,4,40.67663271420012,0.0022533223920460943
1_69,F,1,19013,18729,10527,4070.4101335984897,240.0,0.4752215136352429,282132.7813000001,6,4,8,10,21,4,37.35057931550003,0.3023291148875956,1.0117502593732146,0,0,5,5,0.0589621173598605,0.0014740529339965,0.1361579066200676,0.0,13,57.246409311762505,0.001965403911995353
1_70,F,1,16772,16717,8920,3844.585299451369,256.0,0.5005334329174451,272502.3031999999,6,4,7,10,14,4,19.09553149488545,0.2479029043642276,1.0113607436065903,2,0,2,0,0.0665871557165168,0.0015606364621058,0.1527153985239473,0.0,7,41.45157623975594,0.0018207425391235086
1_73,F,1,14371,14313,5022,4630.449825323351,327.0,0.528898366767101,459608.71864999976,6,4,8,7,13,1,7.483756025990359,0.191927392000438,1.0066819489549323,1,0,0,0,0.0706194888910528,0.0012957704383679,0.1312693788959802,0.0,5,11.073779081953468,0.0017276939178239227
1_77,M,1,15662,15573,6910,4304.880375526274,246.0,0.503279855693028,293916.11389999994,6,3,9,18,20,12,74.18326590894497,0.2326093567697214,1.0084334909663577,3,0,1,0,0.0571444450346489,0.0013937669520646,0.1368739568988209,0.0,11,112.16207538688757,0.002090650428096912
1_78,F,1,16213,16178,6388,4869.284352635143,309.0,0.530311455547732,315443.72029999987,4,4,8,8,15,4,146.37112127580664,0.2310650734670087,1.0094300310153157,1,0,0,0,0.0634590173056491,0.0008214759521766,0.1309645339433363,0.0,7,163.36067499072814,0.0016429519043533753
1_79,M,1,17722,17144,7854,4599.562785535639,339.0,0.5376230097095019,463833.3598,5,4,9,7,17,2,32.6424988334111,0.1921298664788844,1.0058008132151035,5,1,1,0,0.0737026573625784,0.0010870598431058,0.1427316405843349,0.0,8,48.560020998600095,0.001956707717590578
1_80,F,1,14281,14099,4261,4888.101351334313,357.0,0.5576124829715843,595224.2369000004,5,3,5,5,12,0,18.04078303425775,0.1940435476890333,1.0061028814624642,3,1,1,1,0.0730344921965558,0.0010228920475708,0.1288221477866823,0.0,7,31.69004893964111,0.0010228920475708102
1_81,F,1,17529,17500,7696,4869.9120762087405,299.0,0.5434191122467269,267569.06845000014,4,1,6,6,9,2,32.47045714285714,0.2457676991849569,1.0095732578326797,3,1,1,1,0.0613974123805482,0.0008213700652916,0.1315018130316139,0.0,3,65.74582857142858,0.0012320550979374233
1_82,M,1,14770,14650,5909,4327.609665381548,235.0,0.497504802438396,249359.2204,5,3,8,10,14,5,23.06805460750853,0.2887584294733766,1.01250203193933,1,0,2,0,0.054302494487862,0.001155372223146,0.1426344133259656,0.0,6,37.324300341296926,0.0018485955570336013
1_83,F,1,17032,16922,8667,4013.93424317867,213.0,0.4986480977131597,245383.97580000004,3,2,5,7,14,4,33.478016782886186,0.4574325750891732,1.032799727159457,1,0,6,3,0.0530651443436012,0.0007473963992056,0.1683955673020549,0.0,9,69.19979907812315,0.0012456606653427527
1_84,M,1,16591,16479,7246,4600.0945600281975,266.0,0.4870737258629292,284796.3805000001,6,3,7,13,17,7,20.16475514290916,0.2263638096170101,1.0090009627035292,2,1,7,4,0.0578248982773887,0.0013043210137756,0.1256379598645841,0.0,10,31.702712543236846,0.0015217078494049678
1_86,M,1,14169,13981,3289,5330.493621699307,302.0,0.5769391381960522,293912.80305,6,5,9,11,17,5,27.278520849724625,0.2387473182780222,1.0110173757668617,3,0,2,1,0.0566551658125285,0.0011255993207787,0.1270364570765491,0.0,8,46.18661039982834,0.001688398981168069
1_88,M,1,15794,15747,5966,4871.787681858562,334.0,0.5459537572191795,387729.5567,6,4,9,10,17,4,11.846129421477109,0.2581784939415033,1.011813184241606,1,0,3,0,0.0685579959167228,0.001231580764971,0.1240402487138885,0.0,8,19.6234838381914,0.001847371147456604
1_89,F,1,15158,15001,6903,4001.290597909467,233.0,0.4980375234712194,270264.04385,7,4,8,12,16,5,63.05126324911672,0.30934254114063,1.01500174803858,0,0,5,2,0.0582312117299688,0.0017494355455355,0.1421158031346355,0.0,8,91.46390240650624,0.001999354909183481
1_90,F,1,15054,14939,7560,3669.0814581643126,248.0,0.4887928131923816,289567.87950000016,9,5,9,12,12,3,27.991364883861035,0.1772573223805036,1.0055145930426916,0,0,0,0,0.0675918490302686,0.0024529300051307,0.1282499876355729,0.0,3,44.381083071156034,0.0024529300051307156
